week,player_id,player_name,player_SlotId,actual_points,player_position,player_team,projected_points,team_id,manager,team_name,Fantasy_Position,actual_position
7.0,3932905.0,Diontae Johnson,4.0,7.0,3.0,23.0,10.3,5.0,NIX,Defend the Crown,WR,WR
7.0,2976499.0,Amari Cooper,4.0,8.9,3.0,5.0,11.6,5.0,NIX,Defend the Crown,WR,WR
6.0,4047646.0,A.J. Brown,4.0,15.2,3.0,21.0,12.4,5.0,NIX,Defend the Crown,WR,WR
6.0,2976499.0,Amari Cooper,4.0,12.4,3.0,5.0,9.9,5.0,NIX,Defend the Crown,WR,WR
2.0,4047646.0,A.J. Brown,4.0,9.4,3.0,21.0,12.4,5.0,NIX,Defend the Crown,WR,WR
2.0,3932905.0,Diontae Johnson,4.0,10.7,3.0,23.0,11.1,5.0,NIX,Defend the Crown,WR,WR
3.0,4047646.0,A.J. Brown,4.0,17.0,3.0,21.0,13.5,5.0,NIX,Defend the Crown,WR,WR
3.0,3932905.0,Diontae Johnson,4.0,12.4,3.0,23.0,10.9,5.0,NIX,Defend the Crown,WR,WR
1.0,4047646.0,A.J. Brown,4.0,20.5,3.0,21.0,12.2,5.0,NIX,Defend the Crown,WR,WR
1.0,3932905.0,Diontae Johnson,4.0,9.0,3.0,23.0,11.7,5.0,NIX,Defend the Crown,WR,WR
10.0,4047646.0,A.J. Brown,4.0,1.2,3.0,21.0,14.1,5.0,NIX,Defend the Crown,WR,WR
10.0,2976499.0,Amari Cooper,4.0,4.7,3.0,5.0,11.5,5.0,NIX,Defend the Crown,WR,WR
8.0,4047646.0,A.J. Brown,4.0,36.6,3.0,21.0,13.4,5.0,NIX,Defend the Crown,WR,WR
8.0,2976499.0,Amari Cooper,4.0,19.6,3.0,5.0,11.2,5.0,NIX,Defend the Crown,WR,WR
9.0,4047646.0,A.J. Brown,4.0,13.9,3.0,21.0,14.8,5.0,NIX,Defend the Crown,WR,WR
9.0,4242433.0,Joshua Palmer,4.0,14.6,3.0,24.0,10.9,5.0,NIX,Defend the Crown,WR,WR
4.0,2977187.0,Cooper Kupp,4.0,19.2,3.0,14.0,16.4,6.0,ITTO,Team Ittounas,WR,WR
4.0,2976212.0,Stefon Diggs,4.0,8.2,3.0,2.0,17.0,6.0,ITTO,Team Ittounas,WR,WR
5.0,2977187.0,Cooper Kupp,4.0,22.4,3.0,14.0,17.0,6.0,ITTO,Team Ittounas,WR,WR
5.0,2976212.0,Stefon Diggs,4.0,20.2,3.0,2.0,15.2,6.0,ITTO,Team Ittounas,WR,WR
7.0,3915416.0,DJ Moore,4.0,16.1,3.0,29.0,10.0,6.0,ITTO,Team Ittounas,WR,WR
7.0,16731.0,Brandin Cooks,4.0,6.6,3.0,34.0,10.5,6.0,ITTO,Team Ittounas,WR,WR
6.0,2977187.0,Cooper Kupp,4.0,13.2,3.0,14.0,17.3,6.0,ITTO,Team Ittounas,WR,WR
