week,player_id,player_name,player_SlotId,actual_points,player_position,player_team,projected_points,team_id
1.0,4241478.0,DeVonta Smith,20.0,0.0,3.0,21.0,10.2,7.0
1.0,14881.0,Russell Wilson,0.0,17.8,1.0,7.0,19.1,7.0
1.0,2576414.0,Raheem Mostert,20.0,3.7,2.0,15.0,8.2,7.0
1.0,-16018.0,Saints D/ST,16.0,3.0,16.0,18.0,8.5,7.0
1.0,10621.0,Nick Folk,17.0,1.0,5.0,17.0,8.4,7.0
1.0,4040980.0,Irv Smith Jr.,6.0,0.0,4.0,16.0,7.3,7.0
1.0,3043078.0,Derrick Henry,2.0,8.2,2.0,10.0,17.1,8.0
1.0,3042519.0,Aaron Jones,2.0,9.1,2.0,9.0,13.7,8.0
1.0,3116406.0,Tyreek Hill,4.0,14.0,3.0,15.0,13.0,8.0
1.0,3139477.0,Patrick Mahomes,0.0,34.9,1.0,12.0,22.7,8.0
1.0,4047650.0,DK Metcalf,4.0,5.1,3.0,26.0,10.8,8.0
1.0,4047365.0,Josh Jacobs,20.0,7.8,2.0,13.0,11.6,8.0
1.0,3925347.0,Damien Harris,20.0,6.8,2.0,17.0,10.3,8.0
1.0,4243537.0,Gabe Davis,23.0,16.8,3.0,2.0,10.4,8.0
1.0,16460.0,Adam Thielen,20.0,5.1,3.0,16.0,10.3,8.0
1.0,4046692.0,Chase Claypool,20.0,7.4,3.0,3.0,9.7,8.0
1.0,4241474.0,Brian Robinson Jr.,20.0,0.0,2.0,28.0,0.0,8.0
1.0,3051738.0,Marquez Valdes-Scantling,20.0,6.1,3.0,12.0,8.9,8.0
1.0,3917232.0,Tyler Bass,17.0,8.0,5.0,2.0,7.4,8.0
1.0,-16010.0,Titans D/ST,16.0,8.0,16.0,10.0,6.6,8.0
1.0,4361409.0,Jahan Dotson,20.0,16.5,3.0,28.0,7.8,8.0
1.0,4361411.0,Pat Freiermuth,6.0,10.0,4.0,23.0,7.3,8.0
1.0,3117251.0,Christian McCaffrey,2.0,13.7,2.0,25.0,18.0,9.0
1.0,4361579.0,Javonte Williams,2.0,14.3,2.0,7.0,13.7,9.0
1.0,4241389.0,CeeDee Lamb,4.0,3.9,3.0,6.0,14.0,9.0
1.0,4239996.0,Travis Etienne Jr.,23.0,7.5,2.0,30.0,11.8,9.0
1.0,3121422.0,Terry McLaurin,4.0,12.8,3.0,28.0,11.8,9.0
1.0,3915511.0,Joe Burrow,0.0,18.22,1.0,4.0,18.1,9.0
1.0,4360939.0,Rashod Bateman,20.0,12.9,3.0,33.0,9.9,9.0
1.0,3930086.0,Dawson Knox,6.0,1.0,4.0,2.0,7.7,9.0
1.0,4361370.0,Chris Olave,20.0,7.6,3.0,18.0,8.0,9.0
1.0,4430191.0,Skyy Moore,20.0,4.5,3.0,12.0,4.5,9.0
1.0,4360234.0,Evan McPherson,17.0,6.0,5.0,4.0,9.0,9.0
1.0,4240657.0,Michael Carter,20.0,13.5,2.0,20.0,11.3,9.0
1.0,2577417.0,Dak Prescott,20.0,4.46,1.0,6.0,18.6,9.0
1.0,3916430.0,Nyheim Hines,20.0,9.4,2.0,2.0,6.8,9.0
1.0,-16033.0,Ravens D/ST,16.0,9.0,16.0,33.0,5.8,9.0
1.0,4569587.0,Wan'Dale Robinson,20.0,1.0,3.0,19.0,7.1,9.0
1.0,4242335.0,Jonathan Taylor,2.0,25.5,2.0,11.0,20.5,10.0
1.0,4240021.0,Cam Akers,2.0,0.0,2.0,14.0,11.3,10.0
1.0,3116365.0,Mark Andrews,6.0,7.7,4.0,33.0,12.0,10.0
1.0,4241555.0,Elijah Mitchell,23.0,4.1,2.0,25.0,14.5,10.0
1.0,4241985.0,J.K. Dobbins,20.0,0.0,2.0,33.0,0.0,10.0
1.0,4374302.0,Amon-Ra St. Brown,4.0,16.4,3.0,8.0,10.6,10.0
1.0,4372414.0,Elijah Moore,4.0,7.4,3.0,20.0,10.6,10.0
1.0,15795.0,DeAndre Hopkins,20.0,0.0,3.0,22.0,0.0,10.0
1.0,4383351.0,Trey Lance,0.0,9.96,1.0,25.0,17.5,10.0
1.0,4039359.0,Darrell Henderson Jr.,20.0,9.8,2.0,14.0,7.1,10.0
1.0,4426354.0,George Pickens,20.0,0.8,3.0,23.0,6.9,10.0
1.0,4249417.0,Jalen Tolbert,20.0,0.0,3.0,6.0,3.8,10.0
1.0,4361777.0,Zamir White,20.0,0.0,2.0,13.0,3.5,10.0
1.0,4569618.0,Garrett Wilson,20.0,7.2,3.0,20.0,6.9,10.0
1.0,4249087.0,Matt Gay,17.0,6.0,5.0,14.0,8.9,10.0
1.0,-16029.0,Panthers D/ST,16.0,0.0,16.0,29.0,6.2,10.0
